Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Chimpanzee gene stable ID	Chimpanzee chromosome/scaffold name	Chimpanzee chromosome/scaffold start (bp)	Chimpanzee chromosome/scaffold end (bp)	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	dN with Chimpanzee	dS with Chimpanzee	Chimpanzee orthology confidence [0 low, 1 high]
MGP_CAROLIEiJ_G0021889	17	74582280	74612575	ENSPTRG00000011834	2A	37853454	37907684	ortholog_one2one	58.37	48.0072	100		0.314	0.8818	0
MGP_CAROLIEiJ_G0016837	11	75323438	75341884	ENSPTRG00000008988	17	24880017	24893915	ortholog_one2one	83.1683	84.8485	100	100.00	0.0875	0.4082	1
MGP_CAROLIEiJ_G0021878	17	70400937	70411970	ENSPTRG00000011817	2A	32929096	32955117	ortholog_one2one	96.748	97.541	100		0.012	0.2804	1
MGP_CAROLIEiJ_G0023043	19	43358104	43369825	ENSPTRG00000002902	10	104308587	104319517	ortholog_one2one	88.5714	71.5385	100		0.0241	0.4875	1
MGP_CAROLIEiJ_G0020531	16	14392529	14393935	ENSPTRG00000046622	22	5665197	5666273	ortholog_one2one	89.3773	68.1564	100		0.04	0.7078	1
MGP_CAROLIEiJ_G0016751	11	70941839	70945557	ENSPTRG00000031019	17	349911	360208	ortholog_one2one	61.4035	33.8164	100	95.65	0.2532	0.8556	0
MGP_CAROLIEiJ_G0016031	11	1042015	1046311	ENSPTRG00000051632	22	16870844	16875569	ortholog_one2one	91.2121	85.755	100				1
MGP_CAROLIEiJ_G0019936	15	70537345	70549315	ENSPTRG00000051253	KV421069.1	87521	104437	ortholog_one2many	96.7384	95.0239	100		0.0146	0.9329	1
MGP_CAROLIEiJ_G0019936	15	70537345	70549315	ENSPTRG00000049288	8	147197464	147214454	ortholog_one2many	96.7384	96.6713	100		0.0146	0.9329	1
MGP_CAROLIEiJ_G0025392	3	90848767	90880104	ENSPTRG00000001211	1	111691199	111702119	ortholog_one2one	64.8649	51.2821	100		0.2341	0.3612	1
MGP_CAROLIEiJ_G0030495	7	129300969	129304760	ENSPTRG00000008001	16	29327850	29333622	ortholog_one2one	73.5294	73.5294	100	100.00	0.1692	0.6919	1
MGP_CAROLIEiJ_G0019024	14	18564556	18579648	ENSPTRG00000029864	10	80889743	80902401	ortholog_one2many	59.633	66.3265	100		0.2571	0.8316	1
MGP_CAROLIEiJ_G0014162	1	52147859	52160250	ENSPTRG00000012791	2B	91422782	91435407	ortholog_one2one	99.1131	99.1131	100	16.31	0.0052	0.3182	1
MGP_CAROLIEiJ_G0025213	3	82186719	82200925	ENSPTRG00000001393	1	133012728	133025028	ortholog_one2one	84.375	84.375	100	89.71	0.0859	0.4365	1
MGP_CAROLIEiJ_G0014336	1	76414240	76555801	ENSPTRG00000013001	2B	118988236	119191367	ortholog_one2one	72.9192	71.1176	100	18.40	0.1586	0.6258	1
MGP_CAROLIEiJ_G0025455	3	97880741	97893028	ENSPTRG00000001127	1	121985102	121995475	ortholog_one2many	91.3279	91.2043	100		0.0466	0.4677	1
MGP_CAROLIEiJ_G0014414	1	83459373	83588537	ENSPTRG00000051036	3	183164280	183166537	ortholog_one2many	52.6171	52.4005	0		0.3258	1.1261	0
MGP_CAROLIEiJ_G0014414	1	83459373	83588537	ENSPTRG00000013077	2B	128754557	128910597	ortholog_one2many	57.0248	51.2376	100	100.00	0.2957	1.0839	1
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSPTRG00000045068	19	15777469	15778428	ortholog_many2many	66.3043	57.3668	75		0.2438	0.8484	1
