Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Macaque gene stable ID	Macaque chromosome/scaffold name	Macaque chromosome/scaffold start (bp)	Macaque chromosome/scaffold end (bp)	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	dN with Macaque	dS with Macaque	Macaque orthology confidence [0 low, 1 high]
ENSRNOG00000030644	MT	2740	3694	ENSMMUG00000028699	MT	3259	4213	ortholog_one2one	72.327	72.327	50	100.00	0.1676	82.5356	1
ENSRNOG00000031033	MT	3904	4942	ENSMMUG00000028695	MT	4421	5462	ortholog_one2one	54.3353	54.1787	75	100.00	0.358	19.7233	1
ENSRNOG00000034234	MT	5323	6867	ENSMMUG00000028689	MT	5850	7418	ortholog_one2one	89.6887	88.3142	100	100.00	0.0556	2.8245	1
ENSRNOG00000030371	MT	7006	7689	ENSMMUG00000028686	MT	7532	8215	ortholog_one2one	68.7225	68.7225	100	100.00	0.1944	3.6551	1
ENSRNOG00000033299	MT	7758	7961	ENSMMUG00000028684	MT	8357	8563	ortholog_one2one	50.7463	50	100	100.00	0.4767	3.1157	1
ENSRNOG00000031979	MT	7919	8599	ENSMMUG00000028683	MT	8518	9198	ortholog_one2one	62.3894	62.3894	100	100.00	0.2882	7.9183	1
ENSRNOG00000030700	MT	8599	9382	ENSMMUG00000028682	MT	9198	9981	ortholog_one2one	81.6092	81.6092	100	100.00	0.1058	3.6551	1
ENSRNOG00000033615	MT	9451	9798	ENSMMUG00000028680	MT	10050	10395	ortholog_one2one	66.087	66.087	100	100.00	0.2516	11.0084	1
ENSRNOG00000031053	MT	9870	10166	ENSMMUG00000028678	MT	10461	10757	ortholog_one2many	59.1837	59.1837	100	100.00	0.287	2.8288	1
ENSRNOG00000029707	MT	10160	11537	ENSMMUG00000028677	MT	10751	12128	ortholog_one2one	64.9237	64.9237	100	100.00	0.247	19.7764	1
ENSRNOG00000029971	MT	11736	13565	ENSMMUG00000028673	MT	12328	14139	ortholog_one2one	62.5616	63.1841	100	100.00	0.2558	82.3252	1
ENSRNOG00000029042	MT	13543	14061	ENSMMUG00000028672	MT	14140	14667	ortholog_one2one	50	49.1429	75	100.00	0.3729	85.3539	0
ENSRNOG00000031766	MT	14136	15278	ENSMMUG00000028670	MT	14741	15881	ortholog_one2one	71.8421	71.8421	50	100.00	0.1635	6.0787	1
ENSRNOG00000018762	1	47426258	47477524	ENSMMUG00000020011	4	159999911	160026897	ortholog_one2one	48.8764	69.6	50	81.13	0.1814	0.7459	0
ENSRNOG00000000415	20	34894419	34909265	ENSMMUG00000008526	4	148931141	148945702	ortholog_one2one	98.0392	98.0392	75	100.00	0.009	0.3857	1
ENSRNOG00000013102	3	2617805	2623445	ENSMMUG00000005056	15	1238593	1244263	ortholog_one2one	74.3119	81.8182	100	0.00	0.1015	0.8343	1
ENSRNOG00000058883	9	90787787	90806126	ENSMMUG00000022899	12	106642577	106666926	ortholog_one2many	63.3772	63.5165	0	0.00	0.2345	0.7015	0
ENSRNOG00000040242	1	5448958	5571512	ENSMMUG00000045569	4	121191460	121311119	ortholog_one2one	84.8943	86.4615	100	71.36	0.0796	0.6512	1
ENSRNOG00000007027	4	15433295	15505362	ENSMMUG00000018652	3	112432977	112505950	ortholog_one2one	90.3846	82.976	75	100.00	0.0456	0.4831	1
ENSRNOG00000014268	3	2648885	2668809	ENSMMUG00000021434	15	1263931	1284932	ortholog_one2one	91.9063	90.4569	100	94.68	0.0418	1.0922	1
ENSRNOG00000003508	10	16821880	16910641	ENSMMUG00000003067	6	171121304	171242970	ortholog_one2one	90.4153	79.2717	100	66.67	0.0205	0.8799	1
ENSRNOG00000014185	16	24949425	24951612	ENSMMUG00000003388	5	163782496	163784376	ortholog_one2one	81.4992	81.6294	100	0.00	0.1081	0.8158	1
ENSRNOG00000050854	11	82862695	82876051	ENSMMUG00000007507	2	108683405	108699337	ortholog_one2many	93.2745	94.2094	75	81.46	0.03	0.5472	1
