Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Human gene stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	dN with Human	dS with Human	Human orthology confidence [0 low, 1 high]
MGP_PahariEiJ_G0024597	23	37015661	37022884	ENSG00000122034	13	27424544	27435823	ortholog_one2one	77.2603	77.2603	100	100.00	0.1277	0.6986	1
MGP_PahariEiJ_G0018416	14	71172323	71215769	ENSG00000108379	17	46762506	46833154	ortholog_one2one	98.8732	98.8732	100	51.68	0.0046	0.6385	1
MGP_PahariEiJ_G0019507	16	41080337	41104092	ENSG00000124784	6	7389496	7418037	ortholog_one2one	80.5654	80.2817	100	100.00	0.1211	0.5948	1
MGP_PahariEiJ_G0017577	14	27990650	28004988	ENSG00000141026	17	17476986	17493226	ortholog_one2one	78.169	76.0274	100	100.00	0.113	0.8083	1
MGP_PahariEiJ_G0015115	10	50483613	50829764	ENSG00000140386	15	76347904	76905444	ortholog_one2one	88.0544	87.9286	100	100.00	0.0614	0.3846	1
MGP_PahariEiJ_G0030291	8	45971758	45989404	ENSG00000215271	14	23272422	23299447	ortholog_one2one	75.3346	71.6364	100	100.00	0.1538	0.5489	1
MGP_PahariEiJ_G0024437	23	26331794	26350224	ENSG00000160991	7	102433106	102456821	ortholog_one2one	88.3212	95.2756	75	100.00	0.0168	1.2085	1
MGP_PahariEiJ_G0014592	1	169750360	169763317	ENSG00000175535	10	116545931	116567855	ortholog_one2one	78.2796	78.2796	100	100.00	0.1345	0.6716	1
MGP_PahariEiJ_G0015721	10	115913308	115919859	ENSG00000163815	3	45001548	45036071	ortholog_one2one	78.7129	78.7129	100	100.00	0.0994	1.2377	1
MGP_PahariEiJ_G0025347	3	74524113	74525057	ENSG00000181961	11	55343151	55344231	ortholog_one2many	69.7452	66.7683	75	4.41	0.2009	0.6059	1
