Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gorilla gene stable ID	Gorilla chromosome/scaffold name	Gorilla chromosome/scaffold start (bp)	Gorilla chromosome/scaffold end (bp)	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	dN with Gorilla	dS with Gorilla	Gorilla orthology confidence [0 low, 1 high]
ENSMUSG00000064370	MT	14145	15288	ENSGGOG00000024015	MT	14171	15311	ortholog_one2one	76.6404	76.8421	50	100.00	0.1343	21.3291	1
ENSMUSG00000064368	MT	13552	14070	ENSGGOG00000026221	MT	13573	14097	ortholog_one2one	52.3256	51.7241	75	100.00	0.3532	16.4588	1
ENSMUSG00000064367	MT	11742	13565	ENSGGOG00000022688	MT	11761	13572	ortholog_one2one	62.9325	63.3499	100	100.00	0.2595	11.7413	1
ENSMUSG00000064363	MT	10167	11544	ENSGGOG00000025053	MT	10184	11561	ortholog_one2one	67.3203	67.3203	100	100.00	0.2293	62.4654	1
ENSMUSG00000065947	MT	9877	10173	ENSGGOG00000023000	MT	9894	10190	ortholog_one2one	68.3673	68.3673	100	100.00	0.1992	31.648	1
ENSMUSG00000064360	MT	9459	9806	ENSGGOG00000026757	MT	9483	9828	ortholog_one2one	65.2174	65.2174	100	100.00	0.2829	12.1201	1
ENSMUSG00000064358	MT	8607	9390	ENSGGOG00000023107	MT	8631	9414	ortholog_one2one	86.2069	86.2069	100	100.00	0.0733	4.7886	1
ENSMUSG00000064357	MT	7927	8607	ENSGGOG00000025370	MT	7951	8631	ortholog_one2one	73.0089	73.0089	100	100.00	0.173	24.8713	1
ENSMUSG00000064356	MT	7766	7969	ENSGGOG00000023589	MT	7790	7996	ortholog_one2one	47.7612	47.0588	100	100.00	0.4949	0.8508	0
ENSMUSG00000064354	MT	7013	7696	ENSGGOG00000028325	MT	7009	7692	ortholog_one2one	71.3656	71.3656	100	100.00	0.1688	3.0445	1
ENSMUSG00000064351	MT	5328	6872	ENSGGOG00000023924	MT	5326	6862	ortholog_one2one	91.0506	91.4062	100	100.00	0.0474	5.8102	1
ENSMUSG00000064345	MT	3914	4951	ENSGGOG00000026243	MT	3889	4930	ortholog_one2one	56.2319	55.9078	75	100.00	0.34	76.8701	1
ENSMUSG00000064341	MT	2751	3707	ENSGGOG00000022681	MT	2726	3681	ortholog_one2one	76.4151	76.4151	50	100.00	0.1513	6.4636	1
ENSMUSG00000096237	JH584294.1	138344	144557	ENSGGOG00000009095	9	14731241	14738270	ortholog_many2many	30.2289	41.3607	75	100.00	0.4402	0.5767	0
ENSMUSG00000096237	JH584294.1	138344	144557	ENSGGOG00000012993	9	14621734	14627935	ortholog_many2many	13.5754	31.793	50	50.00	0.5834	0.641	0
ENSMUSG00000090455	7	142257647	142258354												
ENSMUSG00000054589	18	62180126	62184405												
ENSMUSG00000024803	19	36111965	36119844	ENSGGOG00000008160	10	105289725	105298837	ortholog_one2one	90.5956	90.5956	100	100.00	0.0484	0.5114	1
ENSMUSG00000007480	18	68337603	68339711	ENSGGOG00000023448	18	966783	967760	ortholog_one2one	67.4731	77.2308	75	0.00	0.1338	1.248	1
ENSMUSG00000057417	17	23917458	23919441												
ENSMUSG00000024778	19	34290659	34327770	ENSGGOG00000025975	10	103324205	103351089	ortholog_one2one	47.7064	45.8824	100	100.00	0.4471	1.0161	0
ENSMUSG00000094309	X	32560055	32562009												
ENSMUSG00000052928	18	75431224	75697696	ENSGGOG00000015204	18	45744504	46003623	ortholog_one2one	89.5666	93	100	87.55	0.0303	0.7023	1
ENSMUSG00000025014	19	41029275	41059523	ENSGGOG00000001035	10	110797731	110854642	ortholog_one2one	77.5472	80.7466	100	99.55	0.1168	0.6921	1
ENSMUSG00000036961	19	44493472	44514273	ENSGGOG00000014634	10	115108090	115128869	ortholog_one2one	89.9457	94.302	75	91.86	0.0314	0.6445	1
ENSMUSG00000024256	17	93199422	93205485	ENSGGOG00000036843	18	14170219	14177210	ortholog_one2one	86.2857	85.7955	25	100.00	0.0594	0.5131	1
ENSMUSG00000038059	18	60474193	60501983	ENSGGOG00000041128	5	134502326	134502508	ortholog_one2one	81.6667	81.6667	50	34.47	0.1044	0.8607	0
ENSMUSG00000025172	19	42036038	42045110	ENSGGOG00000015227	10	112096765	112108204	ortholog_one2one	88.7195	80.8333	100	100.00	0.0594	0.8575	1
ENSMUSG00000096826	4	42655251	42656005	ENSGGOG00000041133	9	14827003	14827692	ortholog_many2many	56.6667	60.7143	25		0.2937	0.4061	0
