Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Macaque gene stable ID	Macaque chromosome/scaffold name	Macaque chromosome/scaffold start (bp)	Macaque chromosome/scaffold end (bp)	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	dN with Macaque	dS with Macaque	Macaque orthology confidence [0 low, 1 high]
ENSMUSG00000064370	MT	14145	15288	ENSMMUG00000028670	MT	14741	15881	ortholog_one2one	71.3911	71.5789	50	100.00	0.1681	8.124	1
ENSMUSG00000064368	MT	13552	14070	ENSMMUG00000028672	MT	14140	14667	ortholog_one2one	51.7442	50.8571	75	100.00	0.3465	26.4346	1
ENSMUSG00000064367	MT	11742	13565	ENSMMUG00000028673	MT	12328	14139	ortholog_one2one	61.7792	62.1891	100	100.00	0.2733	57.1643	1
ENSMUSG00000064363	MT	10167	11544	ENSMMUG00000028677	MT	10751	12128	ortholog_one2one	65.3595	65.3595	100	100.00	0.245	19.5313	1
ENSMUSG00000065947	MT	9877	10173	ENSMMUG00000028678	MT	10461	10757	ortholog_one2one	59.1837	59.1837	100	100.00	0.2794	12.9119	1
ENSMUSG00000064360	MT	9459	9806	ENSMMUG00000028680	MT	10050	10395	ortholog_one2one	63.4783	63.4783	100	100.00	0.2952	10.3949	1
ENSMUSG00000064358	MT	8607	9390	ENSMMUG00000028682	MT	9198	9981	ortholog_one2one	80.0766	80.0766	100	100.00	0.1153	4.2371	1
ENSMUSG00000064357	MT	7927	8607	ENSMMUG00000028683	MT	8518	9198	ortholog_one2one	63.2743	63.2743	100	100.00	0.2813	62.3701	1
ENSMUSG00000064356	MT	7766	7969	ENSMMUG00000028684	MT	8357	8563	ortholog_one2one	46.2687	45.5882	100	100.00	0.548	1.9614	0
ENSMUSG00000064354	MT	7013	7696	ENSMMUG00000028686	MT	7532	8215	ortholog_one2one	68.2819	68.2819	100	100.00	0.1962	6.3578	1
ENSMUSG00000064351	MT	5328	6872	ENSMMUG00000028689	MT	5850	7418	ortholog_one2one	89.1051	87.7395	100	100.00	0.0584	4.5467	1
ENSMUSG00000064345	MT	3914	4951	ENSMMUG00000028695	MT	4421	5462	ortholog_one2one	53.6232	53.3141	75	100.00	0.355	76.9669	1
ENSMUSG00000064341	MT	2751	3707	ENSMMUG00000028699	MT	3259	4213	ortholog_one2one	72.6415	72.6415	50	100.00	0.1762	74.2551	1
ENSMUSG00000096237	JH584294.1	138344	144557	ENSMMUG00000042069	15	49530854	49541488	ortholog_many2many	44.2778	42.0855	25	100.00	0.4461	0.5697	0
ENSMUSG00000096237	JH584294.1	138344	144557	ENSMMUG00000004980	15	49435211	49438894	ortholog_many2many	39.0687	40.3423	50	0.00	0.4736	0.6035	0
ENSMUSG00000090455	7	142257647	142258354												
ENSMUSG00000054589	18	62180126	62184405												
ENSMUSG00000024803	19	36111965	36119844	ENSMMUG00000006632	9	86153182	86162348	ortholog_one2one	90.5956	90.5956	100	98.14	0.0482	0.543	1
ENSMUSG00000007480	18	68337603	68339711												
ENSMUSG00000057417	17	23917458	23919441												
ENSMUSG00000024778	19	34290659	34327770	ENSMMUG00000011186	9	84174170	84199616	ortholog_one2one	46.1774	44.6746	100	79.13	0.4611	0.9776	0
ENSMUSG00000094309	X	32560055	32562009												
ENSMUSG00000052928	18	75431224	75697696	ENSMMUG00000020898	18	37459669	37842319	ortholog_one2one	89.5666	90.8795	50	44.33	0.0295	0.678	0
ENSMUSG00000025014	19	41029275	41059523	ENSMMUG00000022496	9	91768467	91803475	ortholog_one2one	77.3585	80.3922	100	100.00	0.1158	0.721	1
ENSMUSG00000036961	19	44493472	44514273	ENSMMUG00000006621	9	96038222	96061379	ortholog_one2one	89.6739	94.0171	75	94.96	0.0329	0.6039	1
ENSMUSG00000024256	17	93199422	93205485												
ENSMUSG00000038059	18	60474193	60501983	ENSMMUG00000040546	6	148925950	148947955	ortholog_one2one	81.6667	81.6667	50	94.04	0.1019	0.4124	1
ENSMUSG00000025172	19	42036038	42045110	ENSMMUG00000020032	9	93070945	93083231	ortholog_one2one	88.7195	54.6992	75	100.00	0.0592	0.8851	1
ENSMUSG00000096826	4	42655251	42656005	ENSMMUG00000040429	15	49605877	49606549	ortholog_one2many	57.5	61.6071	0		0.2914	0.5024	0
ENSMUSG00000025076	19	56397129	56442344	ENSMMUG00000001217	9	109581413	109632876	ortholog_one2one	76.8977	61.8037	100	0.00	0.1284	0.7862	1
ENSMUSG00000071037	17	85090726	85458139	ENSMMUG00000006312	13	45106869	45513109	ortholog_one2one	84.8297	84.8297	100	100.00	0.0924	0.2251	1
ENSMUSG00000024907	19	3409919	3414472	ENSMMUG00000023496	14	5902184	5908966	ortholog_one2one	55.6452	55.6452	100	0.00	0.3335	1.1834	1
ENSMUSG00000024970	19	7356464	7383026	ENSMMUG00000018152	14	10745743	10760006	ortholog_one2one	74.5407	75.9358	75	0.00	0.1596	0.6741	1
ENSMUSG00000057858	19	60198586	60226697	ENSMMUG00000012741	9	114251859	114285198	ortholog_one2one	77.9661	78.97	100	100.00	0.12	0.4515	1
ENSMUSG00000025228	19	46376814	46395735	ENSMMUG00000011949	9	98194403	98218906	ortholog_one2one	100	100	100	100.00	0	0	1
ENSMUSG00000094791	JH584299.1	314841	317584												
ENSMUSG00000024587	18	64499665	64516557	ENSMMUG00000019974	18	47051926	47076802	ortholog_one2one	92.1288	92.2939	100	100.00	0.043	0.6353	1
ENSMUSG00000040541	9	40148122	40150880	ENSMMUG00000046193	14	116658314	116665113	ortholog_one2one	45.2174	45.4148	100		0.4706	0.5629	0
ENSMUSG00000094869	Y	29655497	29683370	ENSMMUG00000002282	3	30290831	30291538	ortholog_one2many	25.9036	19.5455	50		0.6718	2.274	0
ENSMUSG00000071659	19	8819401	8834142												
ENSMUSG00000024885	19	3913493	3929761	ENSMMUG00000023188	14	6612560	6632397	ortholog_one2one	83.547	83.547	100	0.00	0.0824	1.1778	1
ENSMUSG00000025092	19	58795751	58860984	ENSMMUG00000010908	9	112582290	112764360	ortholog_one2one	94.2222	91.9075	100	0.00	0.0211	0.6446	1
ENSMUSG00000095019	JH584303.1	81607	82689												
ENSMUSG00000034039	17	25318654	25322681												
ENSMUSG00000024352	18	35656690	35662186	ENSMMUG00000023071	6	137169374	137179028	ortholog_one2one	90.7317	90.7317	75	98.32	0.0478	0.2685	1
ENSMUSG00000024306	18	21810897	22171396	ENSMMUG00000004328	18	21510664	21994047	ortholog_one2one	49.8845	48.5393	100	96.97	0.4385	1.1098	0
ENSMUSG00000067279	19	36731737	36736653	ENSMMUG00000000242	9	86873671	86878331	ortholog_one2one	85.489	86.859	100	0.00	0.0673	0.5378	1
ENSMUSG00000091938	4	42629719	42631714	ENSMMUG00000016531	15	49576564	49577873	ortholog_one2many	65.7407	68.2692	50	32.61	0.2322	0.4421	0
ENSMUSG00000025016	19	41210842	41264004	ENSMMUG00000001874	9	91983929	92054398	ortholog_one2one	99.6593	99.6593	100	100.00	0.0016	0.3828	1
ENSMUSG00000044201	18	34732997	34751533	ENSMMUG00000009025	6	136004557	136062241	ortholog_one2one	69.3512	61.144	50	0.78	0.1953	0.4496	0
ENSMUSG00000073639	18	6765205	6790231	ENSMMUG00000046971	9	27457496	27530027	ortholog_one2one	97.0874	72.2022	50	3.98	0.0154	0.3084	0
ENSMUSG00000094155	X	34450524	34452020												
