Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gorilla gene stable ID	Gorilla chromosome/scaffold name	Gorilla chromosome/scaffold start (bp)	Gorilla chromosome/scaffold end (bp)	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	dN with Gorilla	dS with Gorilla	Gorilla orthology confidence [0 low, 1 high]
MGP_CAROLIEiJ_G0021889	17	74582280	74612575	ENSGGOG00000005556	2A	70081661	70127153	ortholog_one2one	59.4714	49.0018	100		0.3059	0.8703	0
MGP_CAROLIEiJ_G0016837	11	75323438	75341884	ENSGGOG00000002514	5	51022748	51040241	ortholog_one2one	74.7525	70.2326	100	100.00	0.1703	0.4902	1
MGP_CAROLIEiJ_G0021878	17	70400937	70411970	ENSGGOG00000012172	2A	75026598	75055691	ortholog_one2one	96.748	97.541	100	100.00	0.012	0.2929	1
MGP_CAROLIEiJ_G0023043	19	43358104	43369825	ENSGGOG00000027277	10	117533869	117544755	ortholog_one2one	96.1905	95.283	100	22.59	0.018	0.4664	1
MGP_CAROLIEiJ_G0020531	16	14392529	14393935	ENSGGOG00000006183	22	2403036	2405857	ortholog_one2one	90.4762	65.8667	100		0.0487	0.7113	1
MGP_CAROLIEiJ_G0016751	11	70941839	70945557												
MGP_CAROLIEiJ_G0016031	11	1042015	1046311	ENSGGOG00000007175	22	13811595	13816131	ortholog_one2one	90.9091	86.7052	100				1
MGP_CAROLIEiJ_G0019936	15	70537345	70549315	ENSGGOG00000016185	8	146063162	146080646	ortholog_one2one	96.669	96.669	100		0.0149	0.956	1
MGP_CAROLIEiJ_G0025392	3	90848767	90880104	ENSGGOG00000024675	1	125747409	125767090	ortholog_one2one	64.8649	51.2821	50		0.2339	0.3508	0
MGP_CAROLIEiJ_G0030495	7	129300969	129304760	ENSGGOG00000025004	16	30529283	30536394	ortholog_one2one	72.9412	72.9412	100	100.00	0.1727	0.6766	1
MGP_CAROLIEiJ_G0019024	14	18564556	18579648	ENSGGOG00000011111	10	94362997	94375880	ortholog_one2many	59.633	66.3265	50		0.2593	0.7584	0
MGP_CAROLIEiJ_G0014162	1	52147859	52160250	ENSGGOG00000016296	2B	93584013	93595532	ortholog_one2one	99.3348	99.3348	100	19.01	0.0042	0.3235	1
MGP_CAROLIEiJ_G0025213	3	82186719	82200925	ENSGGOG00000012840	1	134004414	134016689	ortholog_one2one	84.375	84.375	100	89.71	0.083	0.4283	1
MGP_CAROLIEiJ_G0014336	1	76414240	76555801	ENSGGOG00000010865	2B	121252577	121470153	ortholog_one2one	72.5573	70.7647	100	18.36	0.1611	0.626	1
MGP_CAROLIEiJ_G0025455	3	97880741	97893028	ENSGGOG00000011396	1	115363436	115373577	ortholog_one2many	91.4634	91.3396	75	99.23	0.0468	0.4617	1
MGP_CAROLIEiJ_G0014414	1	83459373	83588537	ENSGGOG00000008411	2B	131122242	131210517	ortholog_one2many	56.7493	50.9901	100	100.00	0.2971	1.1136	1
MGP_CAROLIEiJ_G0014414	1	83459373	83588537	ENSGGOG00000041059	3	182294319	182296889	ortholog_one2many	45.1791	50.0763	0		0.3482	1.6645	0
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSGGOG00000044137	19	14647023	14647952	ortholog_many2many	67.7536	60.5178	75		0.2236	0.9705	1
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSGGOG00000015049	19	14623649	14624578	ortholog_many2many	68.8406	61.4887	75		0.2105	0.896	1
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSGGOG00000042940	19	14663708	14664637	ortholog_many2many	66.6667	59.5469	75		0.2223	0.9849	1
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSGGOG00000015948	19	14635304	14636232	ortholog_many2many	64.1304	59.7973	75		0.2168	0.8395	1
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSGGOG00000009845	19	14609960	14610916	ortholog_many2many	57.971	55.5556	75		0.2596	0.9345	1
MGP_CAROLIEiJ_G0032323	9	59513949	59550597	ENSGGOG00000026017	4	176954914	176957535	ortholog_one2many	77.7328	80.3347	0		0.0997	0.6279	0
MGP_CAROLIEiJ_G0032323	9	59513949	59550597	ENSGGOG00000015417	15	47344888	47387151	ortholog_one2many	89.0688	88.3534	75		0.0533	0.5644	1
MGP_CAROLIEiJ_G0023393	2	26228283	26248421	ENSGGOG00000010864	9	112509011	112544296	ortholog_one2one	92.0742	92.0742	100		0.0372	0.8119	1
MGP_CAROLIEiJ_G0017181	11	96560695	96571784	ENSGGOG00000005458	5	41297869	41309061	ortholog_one2one	78.3186	78.3186	100	90.22	0.1287	0.9105	1
MGP_CAROLIEiJ_G0025660	3	128751818	128830581	ENSGGOG00000009746	4	114002577	114130571	ortholog_one2one	76.7918	76.7918	100	38.99	0.1434	0.7514	1
MGP_CAROLIEiJ_G0022571	19	2507845	2520522	ENSGGOG00000000712	11	64730634	64744153	ortholog_one2one	91.202	91.0891	100	100.00	0.0442	0.5686	1
MGP_CAROLIEiJ_G0033060	X	43594202	43608105	ENSGGOG00000021967	X	132188494	132203636	ortholog_one2one	100	100	100	100.00	0	0	1
MGP_CAROLIEiJ_G0033453	X	129318486	129416959	ENSGGOG00000013544	X	107877681	107964451	ortholog_one2one	99.1608	96.4626	100	80.21	0.0056	0.2727	1
MGP_CAROLIEiJ_G0029257	7	17381052	17386922	ENSGGOG00000024074	19	45409520	45423036	ortholog_one2many	36	34.6154	0		0.5554	0.9448	0
MGP_CAROLIEiJ_G0029257	7	17381052	17386922	ENSGGOG00000005560	19	45381855	45386462	ortholog_one2many	40.8	40.8	25		0.4539	1.1294	0
MGP_CAROLIEiJ_G0028944	6	128183223	128213099	ENSGGOG00000013162	12	10435039	10439392	ortholog_one2many	27.8997	41.2037	50		0.4905	0.9664	0
