Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gorilla gene stable ID	Gorilla chromosome/scaffold name	Gorilla chromosome/scaffold start (bp)	Gorilla chromosome/scaffold end (bp)	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	dN with Gorilla	dS with Gorilla	Gorilla orthology confidence [0 low, 1 high]
MGP_PahariEiJ_G0024597	23	37015661	37022884	ENSGGOG00000008407	13	9056761	9068375	ortholog_one2one	77.2603	68.9487	100	92.77	0.1278	0.6973	1
MGP_PahariEiJ_G0018416	14	71172323	71215769	ENSGGOG00000007186	5	36656159	36711989	ortholog_one2one	93.5211	89.4879	100	97.01	0.0389	0.8922	1
MGP_PahariEiJ_G0019507	16	41080337	41104092	ENSGGOG00000011037	6	7467853	7495287	ortholog_one2one	70.8481	79.249	100		0.1278	0.5867	1
MGP_PahariEiJ_G0017577	14	27990650	28004988	ENSGGOG00000011246	5	61237739	61254084	ortholog_one2one	77.4648	75.3425	100		0.1171	0.8023	1
MGP_PahariEiJ_G0015115	10	50483613	50829764	ENSGGOG00000025692	15	55058201	55615853	ortholog_one2one	88.0544	87.9286	100	100.00	0.0616	0.385	1
MGP_PahariEiJ_G0030291	8	45971758	45989404	ENSGGOG00000002195	14	22089605	22101608	ortholog_one2one	74.3786	70.471	100	100.00	0.1596	0.5711	1
MGP_PahariEiJ_G0024437	23	26331794	26350224	ENSGGOG00000016045	7	75605018	75616953	ortholog_one2one	88.3212	95.2756	100	100.00	0.0167	1.3024	1
MGP_PahariEiJ_G0014592	1	169750360	169763317	ENSGGOG00000016023	10	131529560	131551236	ortholog_one2one	78.2796	78.2796	100	78.29	0.1367	0.645	1
MGP_PahariEiJ_G0015721	10	115913308	115919859	ENSGGOG00000004576	3	45870568	45880386	ortholog_one2one	78.2178	78.2178	100		0.1038	1.3005	1
MGP_PahariEiJ_G0025347	3	74524113	74525057	ENSGGOG00000003534	11	54446466	54447452	ortholog_one2many	61.7834	69.2857	75		0.169	0.6237	1
MGP_PahariEiJ_G0027017	4	105346926	105387035	ENSGGOG00000000908	1	101360987	101472992	ortholog_one2one	96.1538	32.9912	100	12.25	0.0126	0.4328	0
MGP_PahariEiJ_G0012964	1	18397372	18405875	ENSGGOG00000001443	19	47875165	47887359	ortholog_one2one	81.7448	76.3198	100	100.00	0.1114	0.7706	1
MGP_PahariEiJ_G0017928	14	45889781	45902368	ENSGGOG00000016745	5	54758045	54767887	ortholog_one2one	91.8338	92.8986	100		0.0402	0.6342	1
MGP_PahariEiJ_G0027639	5	66456718	66537431	ENSGGOG00000013506	2B	128391562	128415294	ortholog_one2one	92.5078	92.3157	100	100.00	0.0367	0.9248	1
MGP_PahariEiJ_G0021684	19	87149199	87166962	ENSGGOG00000016339	19	16311800	16340511	ortholog_one2one	47.6112	43.9878	100		0.3923	0.9892	0
MGP_PahariEiJ_G0016246	12	14002262	14008214	ENSGGOG00000000783	22	3381594	3387019	ortholog_one2one	82.708	81.12	100		0.0999	0.8316	1
MGP_PahariEiJ_G0026692	4	81084575	81087797	ENSGGOG00000007241	1	132610109	132614702	ortholog_one2one	92.4731	93.4783	100	61.70	0.0265	0.9288	1
MGP_PahariEiJ_G0013396	1	74719143	74721439	ENSGGOG00000028132	11	5227057	5228484	ortholog_one2one	45.4098	58.3158	100		0.3123	0.5707	0
MGP_PahariEiJ_G0029683	7	79063489	79139548	ENSGGOG00000003658	14	57131779	57161412	ortholog_one2one	63.7895	63.924	100	92.90	0.2434	0.6026	1
MGP_PahariEiJ_G0024785	3	14135573	14138752	ENSGGOG00000039195	9	116853474	116858104	ortholog_one2one	73.2026	74.4186	100		0.1637	0.6251	1
MGP_PahariEiJ_G0024524	23	30719084	30748232	ENSGGOG00000008938	7	2551928	2584843	ortholog_one2one	94.084	94.2639	50	53.27	0.0251	0.8904	0
MGP_PahariEiJ_G0023972	22	29606392	29670311	ENSGGOG00000044046	6	101327423	101399065	ortholog_one2one	85.3301	98.0337	100	81.29	0.0086	0.3936	1
MGP_PahariEiJ_G0015985	11	45265833	45267688	ENSGGOG00000012635	17	43211381	43214653	ortholog_one2one	97.6623	97.6623	100	100.00	0.0102	0.5932	1
MGP_PahariEiJ_G0015361	10	80481394	80628557	ENSGGOG00000016579	6	85024450	85204475	ortholog_one2one	78.8043	74.5501	100	100.00	0.1244	0.4329	1
MGP_PahariEiJ_G0031221	9	53920396	54175623	ENSGGOG00000003829	12	23092398	23378265	ortholog_one2one	96.2963	96.1089	100	43.54	0.0159	0.4805	1
MGP_PahariEiJ_G0028847	6	80362338	80386852	ENSGGOG00000011313	1	32825645	32855105	ortholog_one2one	100	100	100	93.54	0	0	1
MGP_PahariEiJ_G0019305	16	23086333	23148321	ENSGGOG00000007442	7	38291510	38343168	ortholog_one2one	63.2027	63.0952	100	64.66	0.2692	0.7097	1
MGP_PahariEiJ_G0015250	10	61914360	61917847	ENSGGOG00000025910	15	41583628	41587345	ortholog_one2one	91.6667	80.2083	100	100.00	0.0504	0.8857	1
MGP_PahariEiJ_G0024067	22	47730830	47759485	ENSGGOG00000000397	9	14470014	14494986	ortholog_one2one	88.75	88.75	100	99.97	0.0598	0.4243	1
MGP_PahariEiJ_G0020986	19	1484694	1492617	ENSGGOG00000009037	19	54535435	54543176	ortholog_one2one	90.6736	90.6736	100	100.00	0.0469	0.8225	1
MGP_PahariEiJ_G0026428	4	46943125	46953424	ENSGGOG00000041052	5	47945609	47945877	ortholog_one2one	76.4706	82.2785	0		0.0924	0.6652	0
