Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Chimpanzee gene stable ID	Chimpanzee chromosome/scaffold name	Chimpanzee chromosome/scaffold start (bp)	Chimpanzee chromosome/scaffold end (bp)	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	dN with Chimpanzee	dS with Chimpanzee	Chimpanzee orthology confidence [0 low, 1 high]
ENSMUSG00000064370	MT	14145	15288	ENSPTRG00000042637	MT	14165	15305	ortholog_one2one	76.378	76.5789	50	100.00	0.1331	12.1676	1
ENSMUSG00000064368	MT	13552	14070	ENSPTRG00000042630	MT	13567	14091	ortholog_one2one	52.3256	51.7241	75	100.00	0.3548	24.9068	1
ENSMUSG00000064367	MT	11742	13565	ENSPTRG00000042651	MT	11755	13566	ortholog_one2one	63.0972	63.5158	100	100.00	0.2651	11.4605	1
ENSMUSG00000064363	MT	10167	11544	ENSPTRG00000042639	MT	10178	11555	ortholog_one2one	67.3203	67.3203	100	100.00	0.226	9.9885	1
ENSMUSG00000065947	MT	9877	10173	ENSPTRG00000048065	4	98468838	98469134	ortholog_one2many	64.2857	64.2857	0				0
ENSMUSG00000065947	MT	9877	10173	ENSPTRG00000048958	8	50719117	50719413	ortholog_one2many	66.3265	66.3265	0				0
ENSMUSG00000065947	MT	9877	10173	ENSPTRG00000047423	9	23010270	23010566	ortholog_one2many	65.3061	65.3061	0				0
ENSMUSG00000065947	MT	9877	10173	ENSPTRG00000042631	MT	9888	10184	ortholog_one2many	67.3469	67.3469	100	100.00	0.205	78.7635	1
ENSMUSG00000064360	MT	9459	9806	ENSPTRG00000042628	MT	9477	9822	ortholog_one2one	66.087	66.087	100	100.00	0.2674	8.7192	1
ENSMUSG00000064358	MT	8607	9390	ENSPTRG00000042661	MT	8625	9408	ortholog_one2one	87.7395	87.7395	100	100.00	0.0647	4.479	1
ENSMUSG00000064357	MT	7927	8607	ENSPTRG00000042650	MT	7945	8625	ortholog_one2one	75.6637	75.6637	100	100.00	0.163	30.4786	1
ENSMUSG00000064356	MT	7766	7969	ENSPTRG00000042653	MT	7784	7990	ortholog_one2one	47.7612	47.0588	100	100.00	0.4654	0.9096	0
ENSMUSG00000064354	MT	7013	7696	ENSPTRG00000042660	MT	7003	7686	ortholog_one2one	70.9251	70.9251	100	100.00	0.169	4.9682	1
ENSMUSG00000064351	MT	5328	6872	ENSPTRG00000042657	MT	5321	6862	ortholog_one2one	90.4669	90.6433	100	100.00	0.0529	5.5354	1
ENSMUSG00000064345	MT	3914	4951	ENSPTRG00000042626	MT	3888	4931	ortholog_one2one	56.5217	56.196	75	100.00	0.3345	80.325	1
ENSMUSG00000064341	MT	2751	3707	ENSPTRG00000042641	MT	2725	3681	ortholog_one2one	76.4151	76.4151	50	100.00	0.1481	70.5281	1
ENSMUSG00000096237	JH584294.1	138344	144557	ENSPTRG00000047927	9	35480299	35486486	ortholog_many2many	40.7261	39.7535	75	100.00	0.4977	0.6438	0
ENSMUSG00000096237	JH584294.1	138344	144557	ENSPTRG00000051015	9	35603337	35605320	ortholog_many2many	15.1539	33.8624	50	50.00	0.5717	0.6496	0
ENSMUSG00000090455	7	142257647	142258354												
ENSMUSG00000054589	18	62180126	62184405												
ENSMUSG00000024803	19	36111965	36119844	ENSPTRG00000002743	10	92206827	92215920	ortholog_one2one	90.5956	90.5956	100	100.00	0.0485	0.5183	1
ENSMUSG00000007480	18	68337603	68339711												
ENSMUSG00000057417	17	23917458	23919441												
