Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Human gene stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	dN with Human	dS with Human	Human orthology confidence [0 low, 1 high]
ENSRNOG00000030644	MT	2740	3694	ENSG00000198888	MT	3307	4262	ortholog_one2one	76.7296	76.7296	50	100.00	0.144	69.1973	1
ENSRNOG00000031033	MT	3904	4942	ENSG00000198763	MT	4470	5511	ortholog_one2one	56.0694	55.9078	75	100.00	0.3287	9.4882	1
ENSRNOG00000034234	MT	5323	6867	ENSG00000198804	MT	5904	7445	ortholog_one2one	90.2724	90.4483	100	100.00	0.0529	2.9325	1
ENSRNOG00000030371	MT	7006	7689	ENSG00000198712	MT	7586	8269	ortholog_one2one	71.8062	71.8062	100	100.00	0.1644	9.6137	1
ENSRNOG00000033299	MT	7758	7961	ENSG00000228253	MT	8366	8572	ortholog_one2one	47.7612	47.0588	100	100.00	0.5827	0.8807	0
ENSRNOG00000031979	MT	7919	8599	ENSG00000198899	MT	8527	9207	ortholog_one2one	75.6637	75.6637	100	100.00	0.1589	4.087	1
ENSRNOG00000030700	MT	8599	9382	ENSG00000198938	MT	9207	9990	ortholog_one2one	87.7395	87.7395	100	100.00	0.0675	2.6606	1
ENSRNOG00000033615	MT	9451	9798	ENSG00000198840	MT	10059	10404	ortholog_one2one	67.8261	67.8261	100	100.00	0.2455	7.6954	1
ENSRNOG00000031053	MT	9870	10166	ENSG00000212907	MT	10470	10766	ortholog_one2many	67.3469	67.3469	100	100.00	0.2075	73.7483	1
ENSRNOG00000029707	MT	10160	11537	ENSG00000198886	MT	10760	12137	ortholog_one2one	67.756	67.756	100	100.00	0.2078	82.4066	1
ENSRNOG00000029971	MT	11736	13565	ENSG00000198786	MT	12337	14148	ortholog_one2one	63.8752	64.5108	100	100.00	0.2532	24.7874	1
ENSRNOG00000029042	MT	13543	14061	ENSG00000198695	MT	14149	14673	ortholog_one2one	50.5814	50	75	100.00	0.3711	14.5408	1
ENSRNOG00000031766	MT	14136	15278	ENSG00000198727	MT	14747	15887	ortholog_one2one	78.4211	78.4211	50	100.00	0.1263	4.2256	1
ENSRNOG00000018762	1	47426258	47477524	ENSG00000130363	6	158972871	159000187	ortholog_one2one	64.6067	61.6071	100	100.00	0.2576	0.6906	1
ENSRNOG00000000415	20	34894419	34909265	ENSG00000111875	6	118894220	118909167	ortholog_one2one	98.0392	98.0392	100	100.00	0.0089	0.3706	1
ENSRNOG00000013102	3	2617805	2623445	ENSG00000054179	9	137048098	137054045	ortholog_one2one	74.4954	82.0202	100	100.00	0.103	0.7322	1
ENSRNOG00000058883	9	90787787	90806126	ENSG00000124019	2	224378698	224402085	ortholog_one2many	64.0351	64.1758	0	46.97	0.2259	0.6742	0
ENSRNOG00000040242	1	5448958	5571512	ENSG00000112425	6	145382535	145736023	ortholog_one2one	90.3323	90.3323	100	100.00	0.0453	0.6329	1
ENSRNOG00000007027	4	15433295	15505362	ENSG00000019991	7	81699008	81770438	ortholog_one2one	90.1099	90.1099	100	100.00	0.0477	0.4816	1
ENSRNOG00000014268	3	2648885	2668809	ENSG00000107331	9	137007227	137028922	ortholog_one2one	92.8102	92.734	100	96.60	0.0338	1.0831	1
ENSRNOG00000003508	10	16821880	16910641	ENSG00000113719	5	172834275	172952685	ortholog_one2one	90.0958	97.2414	100	97.63	0.0147	0.8877	1
ENSRNOG00000014185	16	24949425	24951612	ENSG00000151005	4	163471093	163473746	ortholog_one2one	81.3397	81.4697	100	99.75	0.1076	0.7817	1
ENSRNOG00000050854	11	82862695	82876051	ENSG00000114859	3	184346185	184361651	ortholog_one2many	93.054	93.9866	100	73.17	0.031	0.5423	1
ENSRNOG00000033391	13	52887649	52888215	ENSG00000232237	1	201113953	201127184	ortholog_one2one	73.4043	66.9903	100	100.00	0.1647	1	1
ENSRNOG00000038902	2	88344527	88350784	ENSG00000176731	8	85214076	85220421	ortholog_one2one	78.3505	76	100	52.10	0.1271	0.4044	1
ENSRNOG00000033540	17	3280311	3285451												
ENSRNOG00000001452	12	24473981	24476295	ENSG00000188763	7	73433783	73436120	ortholog_one2one	95.6081	95.7699	100	100.00	0.018	1.2781	1
ENSRNOG00000017462	2	124149872	124341131	ENSG00000145375	4	122923074	123319450	ortholog_one2one	84.4418	79.6193	100	99.74	0.0921	0.4707	1
ENSRNOG00000005491	7	60015998	60057152	ENSG00000127325	12	69643360	69699476	ortholog_one2one	83.9286	84.4311	100	100.00	0.0832	0.5338	1
ENSRNOG00000019804	1	225120061	225126579	ENSG00000149541	11	62615296	62622175	ortholog_one2one	95.2239	95.2239	100	100.00	0.0238	0.5108	1
ENSRNOG00000042286	13	109669680	109696918	ENSG00000117697	1	212726153	212791782	ortholog_one2one	68.3274	68.3274	100	100.00	0.206	0.6562	1
ENSRNOG00000003073	13	83531018	83571505	ENSG00000143147	1	168079543	168137667	ortholog_one2one	92.9924	89.4353	100	100.00	0.0348	0.5962	1
ENSRNOG00000021693	16	50049828	50107856	ENSG00000109794	4	186104419	186172667	ortholog_one2one	39.4937	64.7303	100	100.00	0.2386	0.8064	0
ENSRNOG00000005151	6	7900972	7933796	ENSG00000138036	2	43774039	43810010	ortholog_one2one	88.3191	88.0682	100	100.00	0.0605	0.7073	1
ENSRNOG00000006703	4	77519028	77545589	ENSG00000197024	7	149126416	149182802	ortholog_one2one	91.6019	91.7445	100	100.00	0.0409	0.5025	1
ENSRNOG00000018567	3	121725859	121739173	ENSG00000144136	2	112645857	112663827	ortholog_one2one	91.1894	91.458	100	100.00	0.0457	0.3813	1
ENSRNOG00000004356	13	85672014	85695421	ENSG00000162763	1	165544007	165563961	ortholog_one2one	75.4777	75.7188	100	69.75	0.1545	0.5793	1
ENSRNOG00000025619	15	33759001	33766438	ENSG00000213983	14	23559565	23568070	ortholog_one2one	87.0064	87.0064	100	100.00	0.0733	0.4906	1
ENSRNOG00000039601	16	15105839	15111585												
ENSRNOG00000003633	10	54246250	54253996	ENSG00000109047	17	9896320	9905621	ortholog_one2one	87.1287	88	100	100.00	0.0623	0.7113	1
ENSRNOG00000015444	1	168028367	168029293	ENSG00000176922	11	4847489	4849238	ortholog_one2one	80.5195	76.7802	75	100.00	0.1146	0.5208	1
ENSRNOG00000018767	17	70586394	70603267	ENSG00000134453	10	6088987	6117457	ortholog_one2one	98.5185	99.5012	100	100.00	0.0023	0.475	1
ENSRNOG00000027506	17	65497359	65503912	ENSG00000116996	1	237877864	237890922	ortholog_one2one	62.5688	63.1481	75	100.00	0.2529	0.6925	1
ENSRNOG00000019575	18	31094965	31098536	ENSG00000164620	5	141636950	141641077	ortholog_one2one	82.7815	82.5082	100	100.00	0.0987	0.3603	1
ENSRNOG00000030830	7	12192088	12198551	ENSG00000181588	19	1554669	1568058	ortholog_one2one	68.5801	69.7389	100	100.00	0.1626	2.2776	1
ENSRNOG00000001959	11	37891156	37914983	ENSG00000157601	21	41420304	41459214	ortholog_one2many	65.7975	64.8036	25	9.30	0.2401	1.1194	0
ENSRNOG00000000954	12	9693779	9727489												
ENSRNOG00000009450	8	63600663	63639654	ENSG00000138622	15	73319859	73369264	ortholog_one2one	95.8376	78.4705	100	100.00	0.0202	0.6445	1
