Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Chimpanzee gene stable ID	Chimpanzee chromosome/scaffold name	Chimpanzee chromosome/scaffold start (bp)	Chimpanzee chromosome/scaffold end (bp)	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	dN with Chimpanzee	dS with Chimpanzee	Chimpanzee orthology confidence [0 low, 1 high]
ENSRNOG00000030644	MT	2740	3694	ENSPTRG00000042641	MT	2725	3681	ortholog_one2one	76.1006	76.1006	50	100.00	0.145	77.5767	1
ENSRNOG00000031033	MT	3904	4942	ENSPTRG00000042626	MT	3888	4931	ortholog_one2one	56.9364	56.7723	75	100.00	0.324	14.9128	1
ENSRNOG00000034234	MT	5323	6867	ENSPTRG00000042657	MT	5321	6862	ortholog_one2one	90.0778	90.2534	100	100.00	0.0557	2.3791	1
ENSRNOG00000030371	MT	7006	7689	ENSPTRG00000042660	MT	7003	7686	ortholog_one2one	71.3656	71.3656	100	100.00	0.1663	6.2278	1
ENSRNOG00000033299	MT	7758	7961	ENSPTRG00000042653	MT	7784	7990	ortholog_one2one	49.2537	48.5294	100	100.00	0.5212	0.8897	0
ENSRNOG00000031979	MT	7919	8599	ENSPTRG00000042650	MT	7945	8625	ortholog_one2one	75.6637	75.6637	100	100.00	0.1684	3.272	1
ENSRNOG00000030700	MT	8599	9382	ENSPTRG00000042661	MT	8625	9408	ortholog_one2one	88.5057	88.5057	100	100.00	0.0603	2.1477	1
ENSRNOG00000033615	MT	9451	9798	ENSPTRG00000042628	MT	9477	9822	ortholog_one2one	66.9565	66.9565	75	100.00	0.2381	4.0742	1
ENSRNOG00000031053	MT	9870	10166	ENSPTRG00000048065	4	98468838	98469134	ortholog_many2many	64.2857	64.2857	0				0
ENSRNOG00000031053	MT	9870	10166	ENSPTRG00000048958	8	50719117	50719413	ortholog_many2many	65.3061	65.3061	0				0
ENSRNOG00000031053	MT	9870	10166	ENSPTRG00000047423	9	23010270	23010566	ortholog_many2many	65.3061	65.3061	0				0
ENSRNOG00000031053	MT	9870	10166	ENSPTRG00000042631	MT	9888	10184	ortholog_many2many	68.3673	68.3673	100	100.00	0.2058	3.4087	1
ENSRNOG00000029707	MT	10160	11537	ENSPTRG00000042639	MT	10178	11555	ortholog_one2one	67.9739	67.9739	100	100.00	0.2048	79.7758	1
ENSRNOG00000029971	MT	11736	13565	ENSPTRG00000042651	MT	11755	13566	ortholog_one2one	63.5468	64.1791	100	100.00	0.2566	13.0618	1
ENSRNOG00000029042	MT	13543	14061	ENSPTRG00000042630	MT	13567	14091	ortholog_one2one	50.5814	50	75	100.00	0.3748	19.242	1
ENSRNOG00000031766	MT	14136	15278	ENSPTRG00000042637	MT	14165	15305	ortholog_one2one	77.6316	77.6316	50	100.00	0.1262	10.6676	1
ENSRNOG00000018762	1	47426258	47477524	ENSPTRG00000018751	6	163278311	163301261	ortholog_one2one	64.6067	61.6071	100	100.00	0.2566	0.703	1
ENSRNOG00000000415	20	34894419	34909265	ENSPTRG00000018554	6	122606990	122622197	ortholog_one2one	98.0392	98.0392	100	100.00	0.0089	0.3775	1
ENSRNOG00000013102	3	2617805	2623445	ENSPTRG00000021588	9	115453357	115459212	ortholog_one2one	74.4954	82.0202	100	0.00	0.1021	0.7166	1
ENSRNOG00000058883	9	90787787	90806126	ENSPTRG00000012985	2B	115320346	115349609	ortholog_one2many	63.8158	63.956	0	0.00	0.2252	0.6537	0
ENSRNOG00000040242	1	5448958	5571512	ENSPTRG00000018681	6	149665586	149781902	ortholog_one2one	90.6344	90.6344	100	100.00	0.0438	0.6173	1
ENSRNOG00000007027	4	15433295	15505362	ENSPTRG00000019349	7	84489871	84562304	ortholog_one2one	90.2473	80.9113	100	100.00	0.0476	0.481	1
ENSRNOG00000014268	3	2648885	2668809	ENSPTRG00000044781	9	115417039	115439233	ortholog_one2one	82.046	84.4755	100	74.43	0.0921	1.1786	1
ENSRNOG00000003508	10	16821880	16910641	ENSPTRG00000017535	5	173432776	173556142	ortholog_one2one	90.0958	97.2414	100	78.37	0.0147	0.8844	1
ENSRNOG00000014185	16	24949425	24951612	ENSPTRG00000016563	4	167450722	167452890	ortholog_one2one	81.3397	70.6371	100	0.00	0.1091	0.7648	1
ENSRNOG00000050854	11	82862695	82876051	ENSPTRG00000015692	3	188340045	188355637	ortholog_one2many	93.054	93.9866	75	81.80	0.031	0.5324	1
ENSRNOG00000033391	13	52887649	52888215	ENSPTRG00000051709	1	179963170	179963790	ortholog_one2one	73.9362	67.4757	100	100.00	0.1587	0.96	1
ENSRNOG00000038902	2	88344527	88350784	ENSPTRG00000040206	2A	48819870	48820679	ortholog_one2many	68.0412	74.1573	0		0.1725	0.5724	0
ENSRNOG00000038902	2	88344527	88350784	ENSPTRG00000020385	8	86701932	86707931	ortholog_one2many	78.3505	76	100	0.00	0.1271	0.4044	1
ENSRNOG00000033540	17	3280311	3285451												
ENSRNOG00000001452	12	24473981	24476295	ENSPTRG00000028542	7	75834406	75836181	ortholog_one2one	95.6081	95.7699	100	100.00	0.018	1.3169	1
ENSRNOG00000017462	2	124149872	124341131	ENSPTRG00000016423	4	125826678	126214600	ortholog_one2one	84.4418	79.6193	100	11.08	0.0921	0.4726	1
ENSRNOG00000005491	7	60015998	60057152	ENSPTRG00000005208	12	71794656	71852061	ortholog_one2one	84.2262	84.7305	100	100.00	0.0814	0.5121	1
ENSRNOG00000019804	1	225120061	225126579	ENSPTRG00000045944	AACZ04057286.1	9664	16530	ortholog_one2many	86.5672	80.1105	75	100.00	0.0911	0.5997	1
ENSRNOG00000019804	1	225120061	225126579	ENSPTRG00000039665	11	62586044	62592910	ortholog_one2many	86.5672	80.1105	100	100.00	0.0911	0.5997	1
