Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Human gene stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	dN with Human	dS with Human	Human orthology confidence [0 low, 1 high]
MGP_CAROLIEiJ_G0021889	17	74582280	74612575	ENSG00000055332	2	37099210	37157065	ortholog_one2one	58.8106	48.4574	100	100.00	0.3101	0.8864	0
MGP_CAROLIEiJ_G0016837	11	75323438	75341884	ENSG00000108666	17	32324565	32350023	ortholog_one2one	82.6733	84.3434	100	100.00	0.0902	0.3967	1
MGP_CAROLIEiJ_G0021878	17	70400937	70411970	ENSG00000119820	2	32277910	32316594	ortholog_one2one	96.748	97.541	100	100.00	0.0119	0.2808	1
MGP_CAROLIEiJ_G0023043	19	43358104	43369825	ENSG00000166275	10	102854223	102864961	ortholog_one2many	96.1905	95.283	100	100.00	0.018	0.4427	1
MGP_CAROLIEiJ_G0023043	19	43358104	43369825	ENSG00000270316	10	102854272	102901899	ortholog_one2many	96.1905	95.283	100	100.00	0.018	0.4427	1
MGP_CAROLIEiJ_G0020531	16	14392529	14393935	ENSG00000206203	22	19130808	19132623	ortholog_one2one	90.1099	68.7151	75	79.95	0.038	0.702	1
MGP_CAROLIEiJ_G0016751	11	70941839	70945557	ENSG00000187624	17	410327	431062	ortholog_one2one	61.4035	33.0969	100	84.33	0.2525	0.8955	0
MGP_CAROLIEiJ_G0016031	11	1042015	1046311	ENSG00000239282	22	30285117	30289627	ortholog_one2one	91.5152	91.7933	100	100.00	0.0389	0.8235	1
MGP_CAROLIEiJ_G0019936	15	70537345	70549315	ENSG00000071894	8	144393229	144409349	ortholog_one2one	96.7384	96.6043	75	100.00	0.0146	0.9396	1
MGP_CAROLIEiJ_G0025392	3	90848767	90880104	ENSG00000117281	1	145719471	145739288	ortholog_one2one	65.9459	67.4033	100	54.18	0.2164	0.3473	1
MGP_CAROLIEiJ_G0030495	7	129300969	129304760	ENSG00000179958	16	30423619	30430075	ortholog_one2one	74.1176	74.1176	100	100.00	0.1651	0.6916	1
MGP_CAROLIEiJ_G0019024	14	18564556	18579648	ENSG00000189129	10	80131682	80145359	ortholog_one2many	59.633	67.0103	75	74.17	0.2606	0.8624	1
MGP_CAROLIEiJ_G0014162	1	52147859	52160250	ENSG00000082153	2	200810594	200827338	ortholog_one2one	98.8913	98.8913	100	99.95	0.0063	0.3295	1
MGP_CAROLIEiJ_G0025213	3	82186719	82200925	ENSG00000163344	1	154924734	154936991	ortholog_one2one	84.375	84.375	100	100.00	0.0831	0.4109	1
MGP_CAROLIEiJ_G0014336	1	76414240	76555801	ENSG00000153820	2	227979950	228181645	ortholog_one2one	72.8589	71.0588	100	100.00	0.1587	0.6151	1
MGP_CAROLIEiJ_G0025455	3	97880741	97893028	ENSG00000134262	1	113894748	113905201	ortholog_one2many	91.1924	91.069	75	100.00	0.048	0.4729	1
MGP_CAROLIEiJ_G0014414	1	83459373	83588537	ENSG00000124831	2	237627576	237813682	ortholog_one2one	57.1625	51.3614	100	100.00	0.2935	1.107	1
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSG00000188269	19	14824251	14835285	ortholog_many2many	66.3043	57.3668	0	3.70	0.2469	0.8802	0
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSG00000127515	19	14840466	14848922	ortholog_many2many	68.4783	61.165	50	49.63	0.2123	0.917	0
MGP_CAROLIEiJ_G0015519	10	72868221	72869248	ENSG00000185385	19	14878203	14886132	ortholog_many2many	66.6667	59.5469	50	54.71	0.2233	0.9629	0
MGP_CAROLIEiJ_G0032323	9	59513949	59550597	ENSG00000139223	12	48472665	48473624	ortholog_one2many	44.9393	84.7328	0	82.43	0.0934	0.4117	0
MGP_CAROLIEiJ_G0032323	9	59513949	59550597	ENSG00000140350	15	68778535	68820897	ortholog_one2many	89.4737	88.755	100	100.00	0.0515	0.5676	1
MGP_CAROLIEiJ_G0023393	2	26228283	26248421	ENSG00000148343	9	129036621	129072082	ortholog_one2one	92.4115	92.4115	100	100.00	0.0355	0.7853	1
MGP_CAROLIEiJ_G0017181	11	96560695	96571784	ENSG00000108771	17	42101404	42112733	ortholog_one2one	78.9086	78.9086	100	100.00	0.1247	0.9155	1
MGP_CAROLIEiJ_G0025660	3	128751818	128830581	ENSG00000109323	4	102630770	102760994	ortholog_one2one	76.5643	76.5643	100	100.00	0.1452	0.7454	1
MGP_CAROLIEiJ_G0022571	19	2507845	2520522	ENSG00000142186	11	65525077	65538704	ortholog_one2one	91.202	91.0891	100	100.00	0.0441	0.5862	1
MGP_CAROLIEiJ_G0033060	X	43594202	43608105	ENSG00000123728	X	132203024	132219480	ortholog_one2one	100	100	100	100.00	0	0	1
MGP_CAROLIEiJ_G0033453	X	129318486	129416959	ENSG00000080561	X	107825755	107927193	ortholog_one2one	99.1608	96.4626	75	100.00	0.0043	0.2676	1
MGP_CAROLIEiJ_G0029257	7	17381052	17386922	ENSG00000204866	19	46143106	46161299	ortholog_one2many	36	34.6154	0	76.38	0.5568	0.9352	0
MGP_CAROLIEiJ_G0029257	7	17381052	17386922	ENSG00000188624	19	46120071	46124674	ortholog_one2many	42.4	42.4	25	37.12	0.429	1.2023	0
MGP_CAROLIEiJ_G0028944	6	128183223	128213099												
MGP_CAROLIEiJ_G0019798	15	49469509	49678739	ENSG00000187955	8	120059780	120372036	ortholog_one2one	89.6552	89.755	100	100.00	0.0543	0.5221	1
MGP_CAROLIEiJ_G0029143	7	1696978	1709633	ENSG00000261221	19	55605405	55617269	ortholog_one2many	88.0907	88.0076	100	100.00	0.0555	1.3118	1
MGP_CAROLIEiJ_G0018253	13	14932753	14957897												
MGP_CAROLIEiJ_G0028743	6	109393641	109428107	ENSG00000157103	3	10992186	11039249	ortholog_one2one	97.9967	97.9967	100	100.00	0.0093	0.7855	1
MGP_CAROLIEiJ_G0030036	7	102535218	102597235	ENSG00000166435	11	74807739	74949200	ortholog_one2one	72.5191	71.9697	100	100.00	0.1736	0.4903	1
MGP_CAROLIEiJ_G0021718	17	44974847	44984915	ENSG00000124731	6	41267926	41286719	ortholog_one2one	42.1053	41.0256	100	45.22	0.5689	0.8295	0
MGP_CAROLIEiJ_G0022258	18	43727538	43736889	ENSG00000145782	5	115828200	115841858	ortholog_one2one	88.6525	89.2857	100	100.00	0.0567	0.5365	1
MGP_CAROLIEiJ_G0030557	7	132540342	132581376	ENSG00000107672	10	121957088	121975217	ortholog_one2one	88.189	87.2727	100	100.00	0.0609	0.3668	1
MGP_CAROLIEiJ_G0016585	11	64418614	64421572	ENSG00000161955	17	7558292	7561608	ortholog_one2one	82.5	79.2	75	100.00	0.1035	0.4978	1
MGP_CAROLIEiJ_G0025953	4	37816584	37818035	ENSG00000196196	9	35906192	35907141	ortholog_one2one	54.1284	51.3043	100	100.00	0.3903	1.1325	1
MGP_CAROLIEiJ_G0024060	2	104328989	104329927												
MGP_CAROLIEiJ_G0031909	9	18492742	18899258	ENSG00000122507	7	33129244	33606068	ortholog_one2one	77.7778	14.2052	75	99.58	0.1571	0.9157	0
MGP_CAROLIEiJ_G0019833	15	56006532	56011549	ENSG00000136997	8	127735434	127741434	ortholog_one2one	90.0881	90.0881	75	100.00	0.0442	0.6606	1
MGP_CAROLIEiJ_G0020012	15	73347718	73359115	ENSG00000185022	22	38200767	38216511	ortholog_one2one	89.7436	85.3659	100	100.00	0.0475	0.688	1
MGP_CAROLIEiJ_G0015559	10	73978450	73997375	ENSG00000064687	19	1040101	1065572	ortholog_one2one	76.6959	77.4464	100	99.49	0.1405	1.1737	1
MGP_CAROLIEiJ_G0032748	9	106198078	106200404	ENSG00000283473	3	46612435	46626543	ortholog_one2one	68.75	74.1573	100	67.90	0.0743	1.1413	1
MGP_CAROLIEiJ_G0031328	8	76419182	76419577												
MGP_CAROLIEiJ_G0016045	11	1905187	1915828	ENSG00000185340	22	29306582	29312785	ortholog_one2one	86.7257	86.3436	75	87.08	0.0687	0.7261	1
MGP_CAROLIEiJ_G0018461	13	36954503	36955335												
MGP_CAROLIEiJ_G0017054	11	93138361	93174209	ENSG00000274211	17	38352228	38405593	ortholog_one2one	97.5779	97.074	100	100.00	0.011	0.3107	1
MGP_CAROLIEiJ_G0030669	7	143143585	143144869	ENSG00000206013	11	298200	299526	ortholog_one2one	79.1045	80.303	100	100.00	0.1008	0.7888	1
MGP_CAROLIEiJ_G0014403	1	81562368	81643107	ENSG00000130147	2	234951973	235055714	ortholog_one2one	91.9958	91.9003	100	100.00	0.0386	0.9219	1
MGP_CAROLIEiJ_G0015303	10	45955257	46041925	ENSG00000112246	6	100385015	100464929	ortholog_one2one	96.4706	96.3447	50	100.00	0.0185	0.5653	1
MGP_CAROLIEiJ_G0031685	8	114420621	114435926	ENSG00000158805	16	89720400	89740903	ortholog_one2one	80.9446	80.9446	100	100.00	0.1044	0.7527	1
MGP_CAROLIEiJ_G0016259	11	43886286	43939884												
MGP_CAROLIEiJ_G0028055	5	143168365	143190691	ENSG00000120694	13	31134974	31162388	ortholog_one2one	89.8601	89.6512	100	100.00	0.0598	0.7721	1
MGP_CAROLIEiJ_G0020137	15	80129207	80171844	ENSG00000100422	22	46684411	46738261	ortholog_one2one	84.7458	83.7989	100	100.00	0.0886	0.8991	1
MGP_CAROLIEiJ_G0029911	7	83459382	83469791	ENSG00000177082	15	84639281	84654343	ortholog_one2one	79.4979	50.2645	75	100.00	0.1246	0.4122	1
MGP_CAROLIEiJ_G0018945	14	1518907	1540952	ENSG00000168309	3	58564117	58627610	ortholog_one2one	90.9722	74.8571	100	100.00	0.0407	1.1643	1
MGP_CAROLIEiJ_G0028068	6	21391	62101	ENSG00000188175	7	93188586	93226524	ortholog_one2one	85.7451	81.8557	50	100.00	0.0831	0.4454	1
MGP_CAROLIEiJ_G0028075	6	983823	1020458	ENSG00000164692	7	94394561	94431232	ortholog_one2one	89.9417	90.3367	100	100.00	0.0606	0.3701	1
MGP_CAROLIEiJ_G0026630	4	124525533	124557051	ENSG00000188672	1	25362249	25430192	ortholog_one2many	57.4163	57.554	75	52.19	0.3357	0.7487	1
MGP_CAROLIEiJ_G0026630	4	124525533	124557051	ENSG00000187010	1	25272393	25330445	ortholog_one2many	50.7177	43.002	25	89.03	0.4667	0.9176	0
MGP_CAROLIEiJ_G0031486	8	96691836	96758731	ENSG00000159723	16	67482571	67483813	ortholog_one2one	79.3893	78.7879	100	100.00	0.122	0.4855	1
MGP_CAROLIEiJ_G0018440	13	33507728	33553321	ENSG00000096696	6	7541575	7586717	ortholog_one2one	94.5543	94.9495	100	100.00	0.0235	0.7015	1
MGP_CAROLIEiJ_G0029345	7	23940251	23944430	ENSG00000131126	19	43401496	43418597	ortholog_one2one	53.2	49.8127	50	73.16	0.3507	0.9548	0
MGP_CAROLIEiJ_G0018346	13	19763416	19763805												
MGP_CAROLIEiJ_G0029482	7	28530537	28544343	ENSG00000011332	19	38211006	38229714	ortholog_one2one	95.2261	91.5459	75	54.97	0.0121	0.4374	1
MGP_CAROLIEiJ_G0021439	17	30361345	30368150	ENSG00000204231	6	33193588	33200688	ortholog_one2one	96.3947	94.5996	100	100.00	0.0172	0.3136	1
