Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Macaque gene stable ID	Macaque chromosome/scaffold name	Macaque chromosome/scaffold start (bp)	Macaque chromosome/scaffold end (bp)	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	dN with Macaque	dS with Macaque	Macaque orthology confidence [0 low, 1 high]
MGP_PahariEiJ_G0024597	23	37015661	37022884	ENSMMUG00000009029	17	6991000	7001578	ortholog_one2one	76.9863	65.9624	50	90.73	0.1324	0.6668	1
MGP_PahariEiJ_G0018416	14	71172323	71215769	ENSMMUG00000020809	16	51827929	51882363	ortholog_one2one	98.8732	98.8732	100	96.95	0.0046	0.6591	1
MGP_PahariEiJ_G0019507	16	41080337	41104092	ENSMMUG00000015577	4	7461444	7490251	ortholog_one2one	80.5654	80.4233	50		0.1216	0.6022	0
MGP_PahariEiJ_G0017577	14	27990650	28004988	ENSMMUG00000006491	16	17612827	17631164	ortholog_one2one	78.169	76.0274	100	98.59	0.1092	0.7997	1
MGP_PahariEiJ_G0015115	10	50483613	50829764	ENSMMUG00000011047	7	53797192	54353471	ortholog_one2one	85.3362	86.013	100	100.00	0.0774	0.4312	1
MGP_PahariEiJ_G0030291	8	45971758	45989404	ENSMMUG00000014744	7	84627673	84646335	ortholog_one2one	74.1874	70.674	75	78.83	0.1572	0.5388	1
MGP_PahariEiJ_G0024437	23	26331794	26350224	ENSMMUG00000012024	3	127833034	127846759	ortholog_one2one	89.781	94.2529	100	76.83	0.0245	1.7787	1
MGP_PahariEiJ_G0014592	1	169750360	169763317	ENSMMUG00000000148	9	112459157	112481021	ortholog_one2one	76.129	76.129	100	78.65	0.1459	0.6641	1
MGP_PahariEiJ_G0015721	10	115913308	115919859	ENSMMUG00000038108	2	97532241	97544420	ortholog_one2one	78.7129	78.7129	100	80.40	0.0996	1.1535	1
MGP_PahariEiJ_G0025347	3	74524113	74525057												
MGP_PahariEiJ_G0027017	4	105346926	105387035												
MGP_PahariEiJ_G0012964	1	18397372	18405875	ENSMMUG00000022159	19	43986554	43998005	ortholog_one2one	82.0678	77.7948	100	100.00	0.1064	0.8075	1
MGP_PahariEiJ_G0017928	14	45889781	45902368	ENSMMUG00000030250	16	22750531	22761218	ortholog_one2one	93.1232	93.6599	100	100.00	0.0295	0.62	1
MGP_PahariEiJ_G0027639	5	66456718	66537431	ENSMMUG00000013808	12	117525709	117587477	ortholog_one2one	92.6119	92.4195	100	100.00	0.0361	0.9525	1
MGP_PahariEiJ_G0021684	19	87149199	87166962	ENSMMUG00000028852	19	16454075	16478270	ortholog_one2one	48.1054	44.4444	100		0.3917	1.0815	0
MGP_PahariEiJ_G0016246	12	14002262	14008214	ENSMMUG00000020099	10	61852701	61858437	ortholog_one2one	83.0343	81.5705	100		0.0958	0.9379	1
MGP_PahariEiJ_G0026692	4	81084575	81087797	ENSMMUG00000010980	1	128122767	128127081	ortholog_one2one	91.3979	92.3913	100	20.74	0.0306	0.9606	1
MGP_PahariEiJ_G0013396	1	74719143	74721439	ENSMMUG00000030983	14	61646166	61647587	ortholog_one2one	44.0984	60.5856	100		0.284	0.5702	0
MGP_PahariEiJ_G0029683	7	79063489	79139548	ENSMMUG00000000313	7	135866275	135916095	ortholog_one2one	64.6316	61.2774	50	91.38	0.2408	0.6088	1
