Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Chimpanzee gene stable ID	Chimpanzee chromosome/scaffold name	Chimpanzee chromosome/scaffold start (bp)	Chimpanzee chromosome/scaffold end (bp)	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	dN with Chimpanzee	dS with Chimpanzee	Chimpanzee orthology confidence [0 low, 1 high]
MGP_PahariEiJ_G0024597	23	37015661	37022884	ENSPTRG00000005730	13	12107304	12121952	ortholog_one2one	77.2603	68.7805	100	92.75	0.1293	0.7161	1
MGP_PahariEiJ_G0018416	14	71172323	71215769	ENSPTRG00000009321	17	10901848	10958115	ortholog_one2one	98.8732	98.8732	100	94.59	0.0046	0.6247	1
MGP_PahariEiJ_G0019507	16	41080337	41104092	ENSPTRG00000017700	6	7430438	7458702	ortholog_one2one	80.5654	80.2817	100		0.1203	0.6164	1
MGP_PahariEiJ_G0017577	14	27990650	28004988	ENSPTRG00000008830	17	40138493	40154722	ortholog_one2one	78.169	75.5102	100	98.23	0.1171	0.7677	1
MGP_PahariEiJ_G0015115	10	50483613	50829764	ENSPTRG00000007316	15	57369431	57939542	ortholog_one2one	87.4106	87.0991	100	100.00	0.0674	0.3919	1
MGP_PahariEiJ_G0030291	8	45971758	45989404	ENSPTRG00000052103	14	7022831	7034943	ortholog_one2one	74.761	71.3504	100	97.87	0.1593	0.5522	1
MGP_PahariEiJ_G0024437	23	26331794	26350224	ENSPTRG00000050472	KV421019.1	62266	77181	ortholog_one2many	89.4161	93.5115	75	100.00	0.0294	1.341	1
MGP_PahariEiJ_G0024437	23	26331794	26350224	ENSPTRG00000019537	7	105499642	105517732	ortholog_one2many	89.4161	93.5115	75	100.00	0.0294	1.341	1
MGP_PahariEiJ_G0014592	1	169750360	169763317	ENSPTRG00000002970	10	118305032	118327403	ortholog_one2one	78.4946	78.4946	100	79.14	0.1348	0.6579	1
MGP_PahariEiJ_G0015721	10	115913308	115919859	ENSPTRG00000014831	3	45999856	46009667	ortholog_one2one	78.7129	78.7129	100	59.03	0.1	1.3447	1
MGP_PahariEiJ_G0025347	3	74524113	74525057	ENSPTRG00000023228	11	54868132	54869116	ortholog_one2many	65.2866	68.3333	75		0.1968	0.6148	1
MGP_PahariEiJ_G0027017	4	105346926	105387035	ENSPTRG00000000999	1	100597740	100714252	ortholog_one2one	97.4359	31.9776	100	34.50	0.0124	0.4279	0
MGP_PahariEiJ_G0012964	1	18397372	18405875	ENSPTRG00000011246	19	50798416	50801905	ortholog_one2one	36.0258	87.451	100	100.00	0.0709	0.7298	0
MGP_PahariEiJ_G0017928	14	45889781	45902368	ENSPTRG00000008935	17	28442110	28456247	ortholog_one2one	93.553	94.3642	100		0.0274	0.6348	1
MGP_PahariEiJ_G0027639	5	66456718	66537431	ENSPTRG00000013066	2B	126033108	126139747	ortholog_one2one	92.5078	92.3157	100	100.00	0.0366	0.9673	1
MGP_PahariEiJ_G0021684	19	87149199	87166962	ENSPTRG00000010646	19	17436227	17473032	ortholog_one2one	48.1054	44.4444	100		0.3902	0.9956	0
MGP_PahariEiJ_G0016246	12	14002262	14008214	ENSPTRG00000014074	22	6701941	6707387	ortholog_one2one	82.3817	80.8	100		0.1019	0.8455	1
MGP_PahariEiJ_G0026692	4	81084575	81087797	ENSPTRG00000001352	1	131604328	131608912	ortholog_one2one	94.6237	95.6522	100	61.70	0.0173	1.0173	1
MGP_PahariEiJ_G0013396	1	74719143	74721439												
MGP_PahariEiJ_G0029683	7	79063489	79139548	ENSPTRG00000006515	14	58023670	58075912	ortholog_one2one	64.4211	59.6491	75	87.68	0.2384	0.5869	1
MGP_PahariEiJ_G0024785	3	14135573	14138752	ENSPTRG00000021517	9	111644368	111649244	ortholog_one2one	74.183	75.6667	100		0.151	0.6187	1
MGP_PahariEiJ_G0024524	23	30719084	30748232	ENSPTRG00000018868	7	1761418	1794511	ortholog_one2many	94.2748	94.4551	50	54.96	0.0243	0.8949	0
MGP_PahariEiJ_G0024524	23	30719084	30748232	ENSPTRG00000046945	KV420939.1	100142	133877	ortholog_one2many	91.0305	90.6844	50	55.77	0.0489	1.0096	0
