Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Macaque gene stable ID	Macaque chromosome/scaffold name	Macaque chromosome/scaffold start (bp)	Macaque chromosome/scaffold end (bp)	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	dN with Macaque	dS with Macaque	Macaque orthology confidence [0 low, 1 high]
MGP_CAROLIEiJ_G0021889	17	74582280	74612575	ENSMMUG00000037522	13	37575434	37616040	ortholog_one2one	55.7269	45.5856	75	100.00	0.3436	0.9256	0
MGP_CAROLIEiJ_G0016837	11	75323438	75341884	ENSMMUG00000022379	16	26346207	26357025	ortholog_one2one	83.4158	85.7506	75	100.00	0.0862	0.4197	1
MGP_CAROLIEiJ_G0021878	17	70400937	70411970	ENSMMUG00000016094	13	32780506	32806009	ortholog_one2one	97.1545	97.9508	100		0.0099	0.3119	1
MGP_CAROLIEiJ_G0023043	19	43358104	43369825	ENSMMUG00000007660	9	98596653	98608116	ortholog_one2one	97.1429	96.2264	100		0.0134	0.4659	1
MGP_CAROLIEiJ_G0020531	16	14392529	14393935	ENSMMUG00000017385	10	60832989	60834077	ortholog_one2one	90.4762	68.232	75		0.0365	0.6277	1
MGP_CAROLIEiJ_G0016751	11	70941839	70945557	ENSMMUG00000001533	16	303601	314540	ortholog_one2one	62.7193	33.4895	100	95.76	0.2259	0.9702	0
MGP_CAROLIEiJ_G0016031	11	1042015	1046311	ENSMMUG00000014804	3	42858154	42918415	ortholog_one2one	27.8788	27.9635	0		0.7536	26.6969	0
MGP_CAROLIEiJ_G0019936	15	70537345	70549315	ENSMMUG00000007380	8	143637901	143655363	ortholog_one2one	96.5996	96.5326	100		0.0157	0.9396	1
MGP_CAROLIEiJ_G0025392	3	90848767	90880104	ENSMMUG00000007969	1	123619625	123630545	ortholog_one2one	63.7838	54.3779	100		0.2425	0.372	1
MGP_CAROLIEiJ_G0030495	7	129300969	129304760	ENSMMUG00000041420	20	28020684	28029592	ortholog_one2one	72.9412	72.9412	100	100.00	0.1719	0.7712	1
MGP_CAROLIEiJ_G0019024	14	18564556	18579648												
MGP_CAROLIEiJ_G0014162	1	52147859	52160250	ENSMMUG00000022202	12	82299766	82309827	ortholog_one2one	93.5698	99.7636	100	14.94	0.0011	0.3313	1
MGP_CAROLIEiJ_G0025213	3	82186719	82200925	ENSMMUG00000042907	1	129613985	129628425	ortholog_one2one	84.375	84.375	100	89.71	0.085	0.4733	1
MGP_CAROLIEiJ_G0014336	1	76414240	76555801	ENSMMUG00000013254	12	110350731	110549885	ortholog_one2one	71.5923	68.9715	100	100.00	0.17	0.6619	1
MGP_CAROLIEiJ_G0025455	3	97880741	97893028	ENSMMUG00000019528	1	114938276	114948233	ortholog_one2many	81.3008	90.3614	75	99.23	0.0512	0.4791	1
MGP_CAROLIEiJ_G0014414	1	83459373	83588537	ENSMMUG00000043450	2	114014599	114016816	ortholog_one2many	37.3278	44.942	0		0.4201	1.3043	0
MGP_CAROLIEiJ_G0014414	1	83459373	83588537	ENSMMUG00000003386	12	120346286	120514088	ortholog_one2many	56.3361	50.6188	100	100.00	0.3034	1.1646	1
MGP_CAROLIEiJ_G0015519	10	72868221	72869248												
MGP_CAROLIEiJ_G0032323	9	59513949	59550597	ENSMMUG00000046210	5	164454612	164455350	ortholog_one2many	65.1822	78.9216	0		0.1047	0.8516	0
MGP_CAROLIEiJ_G0032323	9	59513949	59550597	ENSMMUG00000022717	7	45718075	45757569	ortholog_one2many	89.4737	88.755	100		0.0512	0.5372	1
MGP_CAROLIEiJ_G0023393	2	26228283	26248421	ENSMMUG00000011765	15	9764916	9804117	ortholog_one2one	92.2428	92.2428	100		0.0355	0.7609	1
MGP_CAROLIEiJ_G0017181	11	96560695	96571784	ENSMMUG00000014755	16	47945136	47956437	ortholog_one2one	79.056	79.056	100	100.00	0.1216	0.8981	1
MGP_CAROLIEiJ_G0025660	3	128751818	128830581	ENSMMUG00000003739	5	101459036	101602635	ortholog_one2one	75.1991	75.977	50	40.63	0.1514	0.7237	0
MGP_CAROLIEiJ_G0022571	19	2507845	2520522	ENSMMUG00000023477	14	8863637	8877026	ortholog_one2one	91.3259	91.2129	100	100.00	0.0434	0.6123	1
MGP_CAROLIEiJ_G0033060	X	43594202	43608105	ENSMMUG00000048745	X	126143329	126161537	ortholog_one2one	100	100	100	100.00	0	0	1
MGP_CAROLIEiJ_G0033453	X	129318486	129416959	ENSMMUG00000005632	X	101838116	101938712	ortholog_one2one	99.4406	97.1311	75	78.26	0.0031	0.2604	1
MGP_CAROLIEiJ_G0029257	7	17381052	17386922												
MGP_CAROLIEiJ_G0028944	6	128183223	128213099	ENSMMUG00000005081	11	10889188	10899261	ortholog_one2many	34.7962	38.9474	75		0.5461	0.8706	0
MGP_CAROLIEiJ_G0019798	15	49469509	49678739	ENSMMUG00000002595	8	119328014	119577473	ortholog_one2one	88.8765	89.1741	75	96.31	0.0588	0.5385	1
