Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Human gene stable ID	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	dN with Human	dS with Human	Human orthology confidence [0 low, 1 high]
ENSMUSG00000064370	MT	14145	15288	ENSG00000198727	MT	14747	15887	ortholog_one2one	77.9528	78.1579	50	100.00	0.1292	51.9926	1
ENSMUSG00000064368	MT	13552	14070	ENSG00000198695	MT	14149	14673	ortholog_one2one	52.907	52.2989	75	100.00	0.3487	13.0048	1
ENSMUSG00000064367	MT	11742	13565	ENSG00000198786	MT	12337	14148	ortholog_one2one	63.4267	63.8474	100	100.00	0.2602	37.666	1
ENSMUSG00000064363	MT	10167	11544	ENSG00000198886	MT	10760	12137	ortholog_one2one	66.8845	66.8845	100	100.00	0.2264	11.4768	1
ENSMUSG00000065947	MT	9877	10173	ENSG00000212907	MT	10470	10766	ortholog_one2one	66.3265	66.3265	100	100.00	0.2122	76.2474	1
ENSMUSG00000064360	MT	9459	9806	ENSG00000198840	MT	10059	10404	ortholog_one2one	66.087	66.087	100	100.00	0.2585	10.9901	1
ENSMUSG00000064358	MT	8607	9390	ENSG00000198938	MT	9207	9990	ortholog_one2one	86.9732	86.9732	100	100.00	0.0698	11.244	1
ENSMUSG00000064357	MT	7927	8607	ENSG00000198899	MT	8527	9207	ortholog_one2one	75.6637	75.6637	100	100.00	0.1545	37.7436	1
ENSMUSG00000064356	MT	7766	7969	ENSG00000228253	MT	8366	8572	ortholog_one2one	46.2687	45.5882	100	100.00	0.49	0.85	0
ENSMUSG00000064354	MT	7013	7696	ENSG00000198712	MT	7586	8269	ortholog_one2one	71.3656	71.3656	100	100.00	0.1675	3.3273	1
ENSMUSG00000064351	MT	5328	6872	ENSG00000198804	MT	5904	7445	ortholog_one2one	90.6615	90.8382	100	100.00	0.0518	4.1575	1
ENSMUSG00000064345	MT	3914	4951	ENSG00000198763	MT	4470	5511	ortholog_one2one	57.1014	56.7723	75	100.00	0.3365	15.8813	1
ENSMUSG00000064341	MT	2751	3707	ENSG00000198888	MT	3307	4262	ortholog_one2one	77.044	77.044	50	100.00	0.1474	73.3799	1
ENSMUSG00000096237	JH584294.1	138344	144557	ENSG00000205108	9	34723055	34729467	ortholog_one2many	44.2778	42.0225	50	0.00	0.4472	0.57	0
ENSMUSG00000090455	7	142257647	142258354												
ENSMUSG00000054589	18	62180126	62184405												
ENSMUSG00000024803	19	36111965	36119844	ENSG00000148677	10	90912096	90921276	ortholog_one2one	90.2821	90.2821	100	100.00	0.0501	0.5015	1
ENSMUSG00000007480	18	68337603	68339711	ENSG00000176136	18	13824149	13827323	ortholog_one2one	67.2043	76.9231	75	97.15	0.1351	1.2669	1
ENSMUSG00000057417	17	23917458	23919441												
ENSMUSG00000024778	19	34290659	34327770	ENSG00000026103	10	88990582	89015785	ortholog_one2one	49.5413	48.3582	100	95.54	0.436	0.917	0
ENSMUSG00000094309	X	32560055	32562009												
ENSMUSG00000052928	18	75431224	75697696	ENSG00000134030	18	48539046	48863217	ortholog_one2one	89.5666	93	100	99.43	0.0301	0.6796	1
ENSMUSG00000025014	19	41029275	41059523	ENSG00000107447	10	96304396	96338564	ortholog_one2one	77.3585	80.5501	100	100.00	0.1181	0.6924	1
ENSMUSG00000036961	19	44493472	44514273	ENSG00000075290	10	100463041	100483744	ortholog_one2one	89.9457	94.302	100	100.00	0.0314	0.643	1
ENSMUSG00000024256	17	93199422	93205485	ENSG00000141433	18	904943	912172	ortholog_one2one	82.8571	82.3864	25	100.00	0.0853	0.5523	1
ENSMUSG00000038059	18	60474193	60501983	ENSG00000256235	5	150777946	150796734	ortholog_one2one	81.6667	81.6667	50	100.00	0.1023	0.6671	1
ENSMUSG00000025172	19	42036038	42045110	ENSG00000165887	10	97572499	97583884	ortholog_one2one	89.0244	81.1111	100	100.00	0.0577	0.7811	1
ENSMUSG00000096826	4	42655251	42656005	ENSG00000213927	9	34661880	34664048	ortholog_one2many	56.6667	60.7143	25	0.00	0.2942	0.4337	0
ENSMUSG00000025076	19	56397129	56442344	ENSG00000165806	10	113679162	113730907	ortholog_one2one	76.8977	60.0515	100	89.76	0.1495	0.8734	1
ENSMUSG00000071037	17	85090726	85458139	ENSG00000143919	2	44361950	44772592	ortholog_one2one	83.5913	83.5913	100	98.44	0.0986	0.2251	1
ENSMUSG00000024907	19	3409919	3414472	ENSG00000069482	11	68683779	68691175	ortholog_one2one	69.3548	69.9187	100	100.00	0.1648	1.1604	1
ENSMUSG00000024970	19	7356464	7383026	ENSG00000168005	11	63813388	63827718	ortholog_one2one	82.4147	82.4147	100	99.35	0.102	0.6708	1
ENSMUSG00000057858	19	60198586	60226697	ENSG00000165669	10	118297930	118342328	ortholog_one2one	77.9661	78.97	100	100.00	0.1175	0.4081	1
ENSMUSG00000025228	19	46376814	46395735	ENSG00000138107	10	102461881	102502711	ortholog_one2one	100	100	75	100.00	0	0	1
ENSMUSG00000094791	JH584299.1	314841	317584												
ENSMUSG00000024587	18	64499665	64516557	ENSG00000134440	18	57600656	57622213	ortholog_one2one	91.771	93.6131	100	100.00	0.0331	0.6164	1
ENSMUSG00000040541	9	40148122	40150880	ENSG00000204300	11	123882926	123885642	ortholog_one2one	44.7826	45.7778	100	100.00	0.464	0.6477	0
ENSMUSG00000094869	Y	29655497	29683370	ENSG00000139351	12	101728648	101739472	ortholog_one2many	25.9036	18.2203	50		0.7131	4.1233	0
ENSMUSG00000071659	19	8819401	8834142	ENSG00000214753	11	62712630	62727472	ortholog_one2many	94.7651	94.5114	75	100.00	0.0221	0.3031	1
ENSMUSG00000071659	19	8819401	8834142	ENSG00000234857	11	62690275	62727384	ortholog_one2many	92.0805	91.9571	0	98.70	0.0376	0.3485	1
ENSMUSG00000024885	19	3913493	3929761	ENSG00000006534	11	68008578	68029282	ortholog_one2one	83.547	83.547	100	99.65	0.0826	1.0796	1
ENSMUSG00000025092	19	58795751	58860984	ENSG00000165868	10	116671192	116850236	ortholog_one2one	94.2222	91.9075	100	100.00	0.021	0.6093	1
ENSMUSG00000095019	JH584303.1	81607	82689												
ENSMUSG00000034039	17	25318654	25322681												
ENSMUSG00000024352	18	35656690	35662186	ENSG00000170469	5	139396563	139404088	ortholog_one2one	90.7317	90.7317	100	94.51	0.0474	0.2681	1
ENSMUSG00000024306	18	21810897	22171396	ENSG00000166960	18	32937402	33441101	ortholog_one2one	50	48.5971	100	99.96	0.4344	1.1242	0
ENSMUSG00000067279	19	36731737	36736653	ENSG00000119938	10	91628442	91633054	ortholog_one2one	86.1199	86.1199	100	100.00	0.0699	0.5253	1
ENSMUSG00000091938	4	42629719	42631714	ENSG00000172724	9	34689567	34691277	ortholog_one2many	64.8148	71.4286	50	67.11	0.1938	0.3516	0
ENSMUSG00000025016	19	41210842	41264004	ENSG00000077147	10	96518109	96587452	ortholog_one2one	99.3186	98.9813	100	100.00	0.0032	0.3739	1
ENSMUSG00000044201	18	34732997	34751533	ENSG00000158402	5	138285265	138338355	ortholog_one2one	65.3244	61.7336	100	92.32	0.1785	0.4194	1
ENSMUSG00000073639	18	6765205	6790231	ENSG00000099246	10	27504174	27542237	ortholog_one2one	99.0291	86.8085	50	94.83	0.0045	0.2669	1
ENSMUSG00000094155	X	34450524	34452020												
ENSMUSG00000024425	18	38418975	38464399	ENSG00000131507	5	142108505	142154443	ortholog_one2one	97.2851	97.2851	100	100.00	0.0129	0.2591	1
ENSMUSG00000024989	19	38055025	38074425	ENSG00000138180	10	93496632	93529092	ortholog_one2one	75.3247	75	100	100.00	0.154	0.608	1
ENSMUSG00000037013	18	14624198	14682914	ENSG00000141380	18	26016253	26091217	ortholog_one2one	96.1722	96.1722	100	94.98	0.0181	0.3483	1
ENSMUSG00000024854	19	4231899	4233631	ENSG00000256514	11	67351572	67373584	ortholog_one2many	57.0093	76.25	75	100.00	0.1586	1.1179	1
ENSMUSG00000024854	19	4231899	4233631	ENSG00000175482	11	67350777	67356972	ortholog_one2many	83.1776	83.1776	100	100.00	0.0876	0.6144	1
ENSMUSG00000052673	12	69371835	69372458												
ENSMUSG00000060375	12	107488632	107489636												
ENSMUSG00000043445	17	24470473	24471591	ENSG00000184207	16	2211997	2214807	ortholog_one2one	90.6542	90.6542	75	100.00	0.0443	0.6191	1
ENSMUSG00000092004	6	115227343	115259294												
ENSMUSG00000008482	17	24715839	24718057	ENSG00000179580	16	1966823	1968975	ortholog_one2one	69.8745	68.1633	100	100.00	0.2052	0.7161	1
ENSMUSG00000092097	18	8694077	8694541	ENSG00000059145	16	1363205	1414751	ortholog_one2many	2.5974	1.44404	0	0.00	15.8359	0.16	0
ENSMUSG00000090673	19	41582370	41586536												
ENSMUSG00000054134	17	30954679	31010708	ENSG00000177398	21	42062959	42143453	ortholog_one2one	61.7953	57.6072	50	97.33	0.2518	0.9394	1
ENSMUSG00000096379	Y	38574609	38575691												
ENSMUSG00000091285	18	9726197	9726670												
ENSMUSG00000095240	X	39862919	39863604												
ENSMUSG00000095229	X	31336454	31337950												
ENSMUSG00000095602	Y	7405010	7405552												
ENSMUSG00000024485	18	36528157	36541293	ENSG00000113073	5	140360202	140375143	ortholog_one2one	82.4543	77.9247	100	100.00	0.1098	0.468	1
ENSMUSG00000057561	18	46597704	46610225												
ENSMUSG00000053729	18	44166358	44175073												
ENSMUSG00000033825	17	25366550	25368094												
ENSMUSG00000094462	7	42578466	42578588												
ENSMUSG00000097112	2	67432816	67433181												
ENSMUSG00000059734	19	3908870	3912717	ENSG00000110717	11	68030617	68036644	ortholog_one2one	88.2076	89.0476	100	94.22	0.0639	1.2073	1
ENSMUSG00000096550	JH584299.1	477246	480331												
ENSMUSG00000079438	5	88154023	88154099												
ENSMUSG00000025025	19	53310506	53375810	ENSG00000119950	10	110207605	110287365	ortholog_one2one	95.2542	95.2542	100	100.00	0.0211	0.3169	1
ENSMUSG00000071036	17	86497732	86505232												
ENSMUSG00000094855	JH584299.1	921942	924675												
