Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gorilla gene stable ID	Gorilla chromosome/scaffold name	Gorilla chromosome/scaffold start (bp)	Gorilla chromosome/scaffold end (bp)	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	dN with Gorilla	dS with Gorilla	Gorilla orthology confidence [0 low, 1 high]
ENSRNOG00000030644	MT	2740	3694	ENSGGOG00000022681	MT	2726	3681	ortholog_one2one	75.4717	75.4717	50	100.00	0.1488	7.5223	1
ENSRNOG00000031033	MT	3904	4942	ENSGGOG00000026243	MT	3889	4930	ortholog_one2one	55.7803	55.6196	75	100.00	0.3489	9.156	1
ENSRNOG00000034234	MT	5323	6867	ENSGGOG00000023924	MT	5326	6862	ortholog_one2one	91.0506	91.4062	100	100.00	0.0484	3.1112	1
ENSRNOG00000030371	MT	7006	7689	ENSGGOG00000028325	MT	7009	7692	ortholog_one2one	71.8062	71.8062	100	100.00	0.1666	4.6434	1
ENSRNOG00000033299	MT	7758	7961	ENSGGOG00000023589	MT	7790	7996	ortholog_one2one	49.2537	48.5294	100	100.00	0.6186	0.8228	0
ENSRNOG00000031979	MT	7919	8599	ENSGGOG00000025370	MT	7951	8631	ortholog_one2one	73.0089	73.0089	100	100.00	0.1808	4.2734	1
ENSRNOG00000030700	MT	8599	9382	ENSGGOG00000023107	MT	8631	9414	ortholog_one2one	87.3563	87.3563	100	100.00	0.0684	2.9784	1
ENSRNOG00000033615	MT	9451	9798	ENSGGOG00000026757	MT	9483	9828	ortholog_one2one	66.087	66.087	100	100.00	0.2757	5.7272	1
ENSRNOG00000031053	MT	9870	10166	ENSGGOG00000023000	MT	9894	10190	ortholog_one2many	69.3878	69.3878	100	100.00	0.1931	76.319	1
ENSRNOG00000029707	MT	10160	11537	ENSGGOG00000025053	MT	10184	11561	ortholog_one2one	67.756	67.756	100	100.00	0.2095	13.2724	1
ENSRNOG00000029971	MT	11736	13565	ENSGGOG00000022688	MT	11761	13572	ortholog_one2one	63.0542	63.6816	100	100.00	0.2604	8.617	1
ENSRNOG00000029042	MT	13543	14061	ENSGGOG00000026221	MT	13573	14097	ortholog_one2one	50	49.4253	75	100.00	0.3724	13.8447	0
ENSRNOG00000031766	MT	14136	15278	ENSGGOG00000024015	MT	14171	15311	ortholog_one2one	77.3684	77.3684	50	100.00	0.1317	10.6123	1
